time_sec,x,y,yaw
237.280,0.3014,2.0276,1.3975
237.640,0.3150,2.0784,1.2356
242.680,0.3194,2.0281,-1.4228
243.020,0.3305,1.9789,-1.2775
243.360,0.3487,1.9299,-1.1583
243.680,0.3714,1.8837,-1.0760
243.980,0.3966,1.8399,-1.0290
244.280,0.4242,1.7946,-1.0240
244.580,0.4501,1.7506,-1.0635
244.900,0.4736,1.7044,-1.1411
245.220,0.4924,1.6577,-1.2391
245.560,0.5067,1.6070,-1.3530
245.900,0.5150,1.5552,-1.4714
246.240,0.5171,1.5029,-1.5895
246.580,0.5130,1.4507,-1.7082
246.920,0.5028,1.3993,-1.8276
247.260,0.4865,1.3501,-1.9527
247.600,0.4643,1.3036,-2.0828
247.940,0.4363,1.2608,-2.2183
248.280,0.4029,1.2224,-2.3562
248.620,0.3645,1.1891,-2.4962
248.960,0.3221,1.1616,-2.6385
249.300,0.2762,1.1405,-2.7823
249.660,0.2254,1.1259,-2.9433
250.020,0.1740,1.1201,-3.1189
250.400,0.1220,1.1242,2.9467
250.820,0.0738,1.1416,2.6211
251.260,0.0349,1.1749,2.2471
251.680,0.0109,1.2188,1.9056
252.080,0.0008,1.2699,1.6399
252.460,0.0030,1.3218,1.4188
252.900,0.0198,1.3705,1.0505
253.340,0.0530,1.4094,0.6765
253.780,0.0982,1.4335,0.3025
254.220,0.1490,1.4394,-0.0715
254.660,0.1985,1.4263,-0.4455
255.100,0.2398,1.3961,-0.8195
255.460,0.2731,1.3548,-0.9544
255.800,0.3000,1.3116,-1.0734
256.140,0.3216,1.2654,-1.1924
256.480,0.3376,1.2170,-1.3114
256.820,0.3477,1.1670,-1.4304
257.160,0.3517,1.1168,-1.5626
257.520,0.3476,1.0651,-1.7362
257.880,0.3347,1.0144,-1.9034
258.240,0.3135,0.9665,-2.0699
258.600,0.2848,0.9230,-2.2398
258.960,0.2492,0.8852,-2.4126
259.320,0.2077,0.8541,-2.5870
259.680,0.1616,0.8309,-2.7643
260.040,0.1129,0.8167,-2.9533
260.420,0.0614,0.8125,3.1057
260.840,0.0109,0.8220,2.7822
261.280,-0.0328,0.8486,2.4082
261.720,-0.0638,0.8893,2.0342
262.160,-0.0778,0.9386,1.6602
262.600,-0.0728,0.9895,1.2862
263.040,-0.0495,1.0351,0.9122
